lake,month,value
KE,1,"Bar0, 522.8102189781022"
KE,1,"Bar1, 502.00729927007296"
KE,1,"Bar2, 501.82481751824815"
KE,1,"Bar3, 501.64233576642334"
KE,3,"Bar0, 484.83009708737865"
KE,3,"Bar1, 491.38349514563106"
KE,3,"Bar2, 497.20873786407765"
KE,3,"Bar3, 499.3932038834951"
KE,3,"Bar4, 502.3058252427184"
KE,3,"Bar5, 503.03398058252424"
KE,3,"Bar6, 514.3203883495146"
KE,3,"Bar7, 514.6844660194174"
KE,3,"Bar8, 515.0485436893204"
KE,3,"Bar9, 521.0558252427185"
KE,3,"Bar10, 521.7839805825242"
KE,3,"Bar11, 534.1626213592233"
KE,3,"Bar12, 534.8907766990292"
KE,3,"Bar13, 536.1650485436893"
KE,3,"Bar14, 552.002427184466"
KE,3,"Bar15, 556.5533980582525"
KE,2,"Bar0, 533.9805825242719"
KE,2,"Bar1, 541.626213592233"
KE,4,"Bar0, 488.1067961165048"
KE,4,"Bar1, 499.02912621359224"
KE,4,"Bar2, 503.76213592233006"
KE,4,"Bar3, 509.5873786407767"
KE,4,"Bar4, 511.04368932038835"
KE,4,"Bar5, 510.6796116504854"
KE,4,"Bar6, 521.6019417475728"
KE,4,"Bar7, 523.6043689320388"
KE,4,"Bar8, 525.2427184466019"
KE,4,"Bar9, 525.6067961165048"
KE,4,"Bar10, 525.9708737864078"
KE,4,"Bar11, 527.0631067961165"
KE,4,"Bar12, 527.7912621359224"
KE,4,"Bar13, 533.6165048543689"
KE,4,"Bar14, 535.4368932038835"
KE,4,"Bar15, 535.9830097087379"
KE,4,"Bar16, 537.9854368932039"
KE,4,"Bar17, 538.3495145631068"
KE,4,"Bar18, 543.0825242718447"
KE,4,"Bar19, 542.7184466019418"
KE,4,"Bar20, 546.5412621359224"
KE,4,"Bar21, 550.9101941747573"
KE,4,"Bar22, 553.2766990291262"
KE,4,"Bar23, 553.2766990291262"
KE,4,"Bar24, 554.004854368932"
KE,4,"Bar25, 554.7330097087379"
KE,4,"Bar26, 557.2815533980582"
KE,4,"Bar27, 559.8300970873786"
KE,4,"Bar28, 559.8300970873786"
KE,4,"Bar29, 561.6504854368932"
KE,5,"Bar0, 490.2912621359223"
KE,5,"Bar1, 496.84466019417476"
KE,5,"Bar2, 496.84466019417476"
KE,5,"Bar3, 498.6650485436893"
KE,5,"Bar4, 501.5776699029126"
KE,5,"Bar5, 504.4902912621359"
KE,5,"Bar6, 505.58252427184465"
KE,5,"Bar7, 503.76213592233006"
KE,5,"Bar8, 508.49514563106794"
KE,5,"Bar9, 509.5873786407767"
KE,5,"Bar10, 511.04368932038835"
KE,5,"Bar11, 511.7718446601942"
KE,5,"Bar12, 511.7718446601942"
KE,5,"Bar13, 512.5"
KE,5,"Bar14, 513.5922330097087"
KE,5,"Bar15, 514.3203883495146"
KE,5,"Bar16, 520.5097087378641"
KE,5,"Bar17, 525.2427184466019"
KE,5,"Bar18, 525.6067961165048"
KE,5,"Bar19, 527.0631067961165"
KE,5,"Bar20, 527.7912621359224"
KE,5,"Bar21, 528.5194174757281"
KE,5,"Bar22, 532.5242718446602"
KE,5,"Bar23, 535.4368932038835"
KE,5,"Bar24, 535.8009708737864"
KE,5,"Bar25, 537.9854368932039"
KE,5,"Bar26, 538.7135922330098"
KE,5,"Bar27, 541.9902912621359"
